aver,minval,maxval
15.96,7.0,27.0
39.42,11.0,76.0
53.33,25.0,94.0
62.04,21.0,146.0
99.17,46.0,143.0
103.58,56.0,173.0
107.21,49.0,195.0
74.63,15.0,148.0
45.25,9.0,123.0
92.88,38.0,185.0
130.21,59.0,335.0
129.71,70.0,273.0
81.83,45.0,112.0
120.57,46.0,245.0
41.79,20.0,102.0
41.29,13.0,101.0
36.67,7.0,103.0
45.29,17.0,118.0
62.54,23.0,156.0
156.79,68.0,264.0
205.75,139.0,262.0
171.75,110.0,247.0
79.88,42.0,119.0
57.22,37.0,99.0
105.67,47.0,190.0
273.42,170.0,375.0
307.17,130.0,583.0
244.75,144.0,383.0
237.92,63.0,348.0
47.71,20.0,95.0
136.58,40.0,275.0
218.0,56.0,460.0
101.54,43.0,224.0
112.79,62.0,149.0
53.04,13.0,90.0
34.58,14.0,104.0
51.22,21.0,108.0
44.46,23.0,69.0
136.33,41.0,279.0
98.96,49.0,173.0
127.79,42.0,253.0
58.42,17.0,136.0
26.5,10.0,80.0
82.54,26.0,141.0
97.65,38.0,188.0
104.61,35.0,165.0
36.14,12.0,60.0
127.36,53.0,302.0
166.74,57.0,342.0
97.96,48.0,144.0
179.56,102.0,343.0
151.83,104.0,282.0
83.96,48.0,152.0
121.0,47.0,199.0
95.79,55.0,126.0
123.48,54.0,182.0
132.42,70.0,226.0
74.33,58.0,92.0
112.79,67.0,175.0
82.04,15.0,226.0
63.88,33.0,139.0
43.96,15.0,79.0
29.13,9.0,62.0
42.71,18.0,62.0
53.54,16.0,170.0
174.63,40.0,553.0
114.14,74.0,169.0
49.43,10.0,129.0
19.79,11.0,37.0
48.29,13.0,110.0
107.29,28.0,245.0
74.58,33.0,136.0
86.67,54.0,194.0
69.25,33.0,119.0
55.21,24.0,87.0
75.92,37.0,151.0
110.71,59.0,193.0
114.13,59.0,191.0
131.25,60.0,233.0
118.79,79.0,181.0
164.88,91.0,244.0
81.75,46.0,167.0
88.29,29.0,119.0
56.35,35.0,89.0
62.13,30.0,95.0
90.13,47.0,170.0
190.75,149.0,242.0
122.79,39.0,186.0
166.88,126.0,251.0
227.25,186.0,286.0
208.29,167.0,239.0
120.29,73.0,159.0
32.54,13.0,139.0
62.42,29.0,144.0
53.83,13.0,101.0
65.79,32.0,130.0
104.58,61.0,137.0
46.74,18.0,87.0
34.92,16.0,72.0
24.58,10.0,63.0
50.29,12.0,102.0
59.46,36.0,98.0
38.13,15.0,101.0
77.17,43.0,152.0
84.46,42.0,151.0
28.38,10.0,71.0
107.0,69.0,163.0
141.75,62.0,281.0
47.92,14.0,103.0
66.67,14.0,137.0
90.83,37.0,164.0
48.5,27.0,77.0
49.25,23.0,93.0
28.17,7.0,60.0
87.35,30.0,156.0
90.42,48.0,133.0
126.38,57.0,243.0
100.67,47.0,174.0
125.58,58.0,206.0
172.38,132.0,226.0
192.21,86.0,288.0
91.96,40.0,167.0
86.96,29.0,195.0
80.79,36.0,141.0
48.21,21.0,108.0
103.38,80.0,132.0
58.79,20.0,132.0
23.79,13.0,52.0
43.29,19.0,103.0
26.13,4.0,54.0
44.96,17.0,81.0
74.29,23.0,108.0
116.88,71.0,182.0
75.71,28.0,117.0
48.29,22.0,83.0
65.0,25.0,135.0
137.56,112.0,163.0
98.1,59.0,149.0
115.17,64.0,191.0
40.46,16.0,167.0
55.78,31.0,101.0
59.25,27.0,111.0
34.04,12.0,55.0
50.5,35.0,68.0
46.83,18.0,105.0
66.79,17.0,167.0
60.33,26.0,101.0
116.42,50.0,398.0
99.96,46.0,139.0
67.94,15.0,296.0
42.71,32.0,59.0
39.08,9.0,83.0
41.75,15.0,73.0
92.54,45.0,135.0
84.83,40.0,156.0
89.26,58.0,136.0
35.45,10.0,89.0
33.79,11.0,73.0
16.38,6.0,25.0
30.21,12.0,42.0
49.76,34.0,71.0
30.13,20.0,43.0
43.63,6.0,142.0
69.04,22.0,128.0
59.77,22.0,113.0
26.71,8.0,51.0
92.67,51.0,132.0
33.04,13.0,114.0
27.33,15.0,57.0
46.75,11.0,138.0
53.58,22.0,99.0
50.63,16.0,77.0
61.38,37.0,135.0
71.29,27.0,128.0
88.75,40.0,152.0
89.7,26.0,174.0
81.33,62.0,106.0
63.04,2.0,177.0
36.0,3.0,144.0
29.63,4.0,120.0
45.71,9.0,104.0
23.04,6.0,62.0
57.75,29.0,127.0
67.33,17.0,169.0
90.04,48.0,164.0
91.79,54.0,113.0
57.87,21.0,103.0
42.29,20.0,79.0
72.13,40.0,145.0
54.38,34.0,91.0
47.21,18.0,112.0
43.96,26.0,71.0
41.23,23.0,59.0
41.04,11.0,68.0
47.65,29.0,72.0
84.23,24.0,338.0
57.91,21.0,124.0
41.85,22.0,77.0
68.36,27.0,198.0
72.73,18.0,153.0
120.17,50.0,196.0
97.5,50.0,230.0
81.7,1.0,171.0
48.92,20.0,75.0
62.29,24.0,95.0
104.28,30.0,597.0
52.58,2.0,229.0
70.05,24.0,462.0
53.29,6.0,111.0
53.63,28.0,109.0
42.29,12.0,59.0
26.54,2.0,87.0
29.71,1.0,66.0
48.92,30.0,83.0
70.5,39.0,116.0
67.04,23.0,146.0
40.21,5.0,96.0
84.92,55.0,122.0
78.75,46.0,110.0
67.77,22.0,171.0
52.5,48.0,57.0
53.85,21.0,100.0
40.11,17.0,85.0
15.15,8.0,30.0
13.17,2.0,32.0
28.45,7.0,63.0
41.08,17.0,70.0
73.0,36.0,128.0
69.21,27.0,109.0
34.63,10.0,66.0
42.18,10.0,72.0
69.5,33.0,108.0
102.67,57.0,143.0
76.13,39.0,100.0
43.9,4.0,65.0
17.82,5.0,50.0
34.3,1.0,68.0
40.71,9.0,77.0
59.08,43.0,77.0
127.54,66.0,165.0
143.75,94.0,184.0
66.17,39.0,97.0
47.42,30.0,63.0
38.92,19.0,64.0
53.75,38.0,75.0
20.67,5.0,43.0
30.35,4.0,69.0
31.63,3.0,62.0
14.68,1.0,34.0
16.74,2.0,73.0
34.1,1.0,116.0
43.63,11.0,74.0
48.13,13.0,97.0
32.42,5.0,70.0
39.79,14.0,87.0
41.46,19.0,77.0
23.35,5.0,45.0
27.13,4.0,78.0
29.91,7.0,56.0
54.63,25.0,79.0
61.08,24.0,106.0
71.08,32.0,98.0
101.46,57.0,153.0
59.91,27.0,104.0
82.63,31.0,149.0
107.08,69.0,162.0
150.04,8.0,269.0
73.0,17.0,150.0
47.13,17.0,72.0
31.83,2.0,74.0
45.5,8.0,103.0
38.46,11.0,70.0
52.78,30.0,83.0
60.0,10.0,166.0
45.63,8.0,96.0
64.21,12.0,130.0
47.71,18.0,104.0
30.1,2.0,60.0
21.24,3.0,47.0
36.48,6.0,112.0
61.35,1.0,178.0
75.92,20.0,131.0
97.58,68.0,141.0
17.0,1.0,38.0
23.58,1.0,69.0
46.46,7.0,102.0
40.67,4.0,99.0
30.13,6.0,87.0
54.83,12.0,122.0
23.17,3.0,58.0
37.05,2.0,86.0
44.17,6.0,101.0
57.35,14.0,107.0
73.92,48.0,105.0
60.25,28.0,88.0
46.33,24.0,97.0
44.38,11.0,78.0
96.95,35.0,177.0
63.08,7.0,140.0
17.0,6.0,37.0
47.42,8.0,118.0
45.67,14.0,78.0
27.71,1.0,80.0
70.38,27.0,151.0
26.7,3.0,89.0
23.38,7.0,51.0
70.5,47.0,94.0
39.67,17.0,101.0
47.83,13.0,126.0
69.96,18.0,141.0
82.71,19.0,164.0
46.38,19.0,131.0
73.29,33.0,119.0
96.21,66.0,125.0
102.13,79.0,152.0
190.88,76.0,285.0
90.63,42.0,280.0
19.95,5.0,58.0
70.91,39.0,150.0
154.42,74.0,220.0
68.5,8.0,143.0
33.79,15.0,83.0
63.88,23.0,139.0
104.38,83.0,156.0
63.96,15.0,113.0
80.78,12.0,200.0
177.67,75.0,264.0
195.5,86.0,269.0
106.29,78.0,179.0
114.42,95.0,132.0
132.42,78.0,252.0
36.67,7.0,226.0
62.08,14.0,163.0
160.96,61.0,269.0
182.0,84.0,306.0
168.38,58.0,422.0
558.26,441.0,725.0
281.58,65.0,652.0
32.13,12.0,61.0
68.33,33.0,137.0
77.92,47.0,109.0
66.88,12.0,102.0
54.92,10.0,123.0
122.88,55.0,195.0
142.33,65.0,230.0
127.63,53.0,201.0
152.71,91.0,223.0
86.54,18.0,221.0
28.71,16.0,51.0
61.42,17.0,137.0
78.29,36.0,153.0
176.58,81.0,356.0
184.46,95.0,386.0
136.91,83.0,207.0
156.83,88.0,227.0
125.83,62.0,188.0
88.75,44.0,129.0
139.25,59.0,239.0
116.79,48.0,249.0
108.58,58.0,155.0
65.04,21.0,135.0
181.79,99.0,280.0
62.75,38.0,130.0
51.75,18.0,85.0
129.5,68.0,254.0
196.13,62.0,296.0
90.29,62.0,180.0
32.25,11.0,62.0
29.5,17.0,56.0
29.71,16.0,51.0
28.79,18.0,57.0
48.33,24.0,124.0
42.63,26.0,111.0
183.71,112.0,295.0
80.21,42.0,237.0
129.29,30.0,281.0
77.54,32.0,128.0
79.54,39.0,125.0
100.29,27.0,260.0
49.33,21.0,106.0
213.5,109.0,350.0
178.04,65.0,321.0
40.88,18.0,101.0
57.71,16.0,155.0
181.67,26.0,364.0
49.63,27.0,103.0
63.13,26.0,121.0
82.08,34.0,195.0
143.21,50.0,292.0
104.13,42.0,178.0
69.71,41.0,135.0
122.75,52.0,266.0
253.79,42.0,462.0
112.79,73.0,157.0
130.13,70.0,205.0
224.46,158.0,344.0
67.54,24.0,110.0
28.0,13.0,39.0
40.75,26.0,59.0
50.17,30.0,83.0
51.39,25.0,92.0
117.11,52.0,189.0
78.08,16.0,165.0
34.96,12.0,106.0
42.63,18.0,75.0
186.54,127.0,271.0
238.92,137.0,441.0
158.71,37.0,303.0
108.42,51.0,190.0
206.96,80.0,344.0
140.17,49.0,236.0
183.08,112.0,219.0
187.71,129.0,254.0
83.48,28.0,182.0
61.79,28.0,90.0
97.54,61.0,166.0
95.29,41.0,236.0
229.63,65.0,330.0
141.33,93.0,210.0
349.58,226.0,445.0
218.42,62.0,448.0
126.58,29.0,237.0
187.79,106.0,235.0
79.54,15.0,184.0
45.33,16.0,179.0
164.04,52.0,373.0
130.38,40.0,224.0
35.13,17.0,69.0
139.25,46.0,384.0
187.21,126.0,268.0
183.04,97.0,273.0
154.96,71.0,223.0
92.92,27.0,219.0
102.88,54.0,208.0
103.42,61.0,182.0
24.92,14.0,45.0
37.58,16.0,64.0
86.71,34.0,134.0
120.38,44.0,232.0
77.5,24.0,205.0
39.13,19.0,88.0
82.39,49.0,135.0
128.82,74.0,212.0
341.5,299.0,395.0
181.38,56.0,323.0
63.46,44.0,95.0
86.35,31.0,259.0
338.96,71.0,932.0
56.67,14.0,217.0
56.54,19.0,126.0
187.75,35.0,345.0
32.0,16.0,67.0
85.0,27.0,188.0
71.13,19.0,144.0
30.58,10.0,88.0
50.92,27.0,90.0
84.67,21.0,202.0
55.08,16.0,111.0
91.83,21.0,152.0
25.71,12.0,55.0
28.88,19.0,52.0
75.88,42.0,122.0
54.78,42.0,81.0
120.29,52.0,248.0
68.38,23.0,139.0
20.79,10.0,32.0
33.42,21.0,67.0
46.58,17.0,99.0
40.46,14.0,99.0
58.59,18.0,93.0
86.96,53.0,117.0
67.13,34.0,108.0
93.67,61.0,137.0
56.17,27.0,123.0
88.21,29.0,142.0
88.5,29.0,156.0
131.0,68.0,202.0
85.33,14.0,177.0
40.09,17.0,199.0
50.83,28.0,98.0
130.04,54.0,232.0
116.75,62.0,168.0
91.54,68.0,138.0
96.75,74.0,132.0
105.29,84.0,144.0
149.63,109.0,200.0
89.25,49.0,169.0
67.83,33.0,112.0
57.08,22.0,97.0
71.17,21.0,143.0
70.08,35.0,98.0
54.43,32.0,98.0
61.79,24.0,116.0
29.29,15.0,70.0
32.83,19.0,63.0
76.5,44.0,120.0
77.46,55.0,96.0
94.04,65.0,156.0
97.54,41.0,130.0
63.08,22.0,84.0
79.5,52.0,107.0
82.63,47.0,130.0
98.17,69.0,144.0
38.25,10.0,67.0
67.7,40.0,115.0
99.75,39.0,193.0
48.58,37.0,62.0
57.92,14.0,121.0
83.96,35.0,143.0
79.0,33.0,197.0
43.63,27.0,60.0
41.88,8.0,96.0
70.0,47.0,107.0
96.17,58.0,174.0
64.42,30.0,85.0
48.33,23.0,91.0
58.54,36.0,92.0
53.08,34.0,84.0
52.08,30.0,79.0
55.06,29.0,83.0
48.29,5.0,94.0
19.33,8.0,32.0
66.17,27.0,133.0
41.33,6.0,132.0
51.5,26.0,134.0
25.83,18.0,42.0
34.38,21.0,51.0
58.21,32.0,91.0
41.93,27.0,55.0
18.45,7.0,59.0
69.21,37.0,173.0
35.88,12.0,77.0
24.04,8.0,48.0
41.67,9.0,84.0
69.19,13.0,103.0
33.71,10.0,58.0
22.0,4.0,81.0
20.21,5.0,36.0
54.0,35.0,77.0
50.0,29.0,80.0
47.29,25.0,65.0
54.08,33.0,69.0
58.63,34.0,95.0
64.0,37.0,94.0
90.38,40.0,123.0
26.88,16.0,59.0
45.63,24.0,97.0
28.46,5.0,113.0
47.46,19.0,107.0
46.5,6.0,71.0
24.88,6.0,47.0
27.08,9.0,63.0
42.71,25.0,59.0
31.58,21.0,58.0
39.0,16.0,57.0
41.83,6.0,98.0
26.58,2.0,48.0
42.59,3.0,94.0
43.79,23.0,73.0
15.46,4.0,35.0
31.46,2.0,101.0
52.67,15.0,92.0
53.08,15.0,109.0
60.61,21.0,117.0
57.71,21.0,122.0
43.54,15.0,82.0
31.29,6.0,65.0
25.83,7.0,40.0
35.5,10.0,65.0
60.88,16.0,101.0
48.13,16.0,155.0
33.08,6.0,54.0
31.0,12.0,48.0
40.08,20.0,61.0
78.79,39.0,189.0
74.17,30.0,155.0
55.88,26.0,89.0
28.35,1.0,64.0
36.5,9.0,100.0
14.18,2.0,31.0
19.85,4.0,62.0
31.74,2.0,84.0
47.96,20.0,88.0
31.5,6.0,67.0
41.92,16.0,61.0
50.38,21.0,115.0
48.88,12.0,117.0
52.75,31.0,83.0
23.65,9.0,47.0
30.0,6.0,69.0
69.92,29.0,108.0
24.39,2.0,50.0
42.35,20.0,76.0
20.93,1.0,40.0
20.17,2.0,41.0
17.43,2.0,39.0
57.17,5.0,150.0
25.7,2.0,87.0
40.3,6.0,80.0
37.6,2.0,88.0
77.14,37.0,98.0
69.48,29.0,115.0
73.38,23.0,120.0
59.63,15.0,101.0
38.5,5.0,72.0
25.32,7.0,53.0
23.79,11.0,41.0
27.88,6.0,52.0
25.57,8.0,48.0
23.56,1.0,58.0
10.3,4.0,31.0
15.09,1.0,28.0
19.09,3.0,40.0
14.62,2.0,32.0
24.71,5.0,45.0
43.71,25.0,94.0
31.71,2.0,57.0
36.74,11.0,95.0
32.67,5.0,99.0
15.46,1.0,37.0
9.63,2.0,19.0
17.5,2.0,100.0
46.83,20.0,95.0
49.38,15.0,86.0
31.46,6.0,74.0
9.55,1.0,20.0
16.7,3.0,28.0
11.86,3.0,30.0
24.75,12.0,45.0
34.04,21.0,48.0
49.79,23.0,80.0
56.08,35.0,85.0
55.58,19.0,91.0
79.58,30.0,119.0
26.83,3.0,67.0
50.25,9.0,135.0
36.67,22.0,67.0
20.67,7.0,39.0
33.38,10.0,80.0
37.63,14.0,66.0
77.0,36.0,127.0
75.46,22.0,182.0
32.54,4.0,84.0
37.17,3.0,160.0
66.54,9.0,152.0
84.21,30.0,195.0
15.67,2.0,42.0
14.71,3.0,41.0
24.71,3.0,129.0
70.38,48.0,109.0
70.75,32.0,112.0
100.42,68.0,149.0
66.25,27.0,98.0
16.08,7.0,31.0
24.67,6.0,50.0
21.46,9.0,51.0
16.63,3.0,58.0
43.58,7.0,74.0
54.91,11.0,171.0
114.33,49.0,194.0
98.67,72.0,158.0
110.13,84.0,166.0
79.42,26.0,114.0
31.38,5.0,123.0
85.79,45.0,155.0
64.79,14.0,189.0
104.58,52.0,187.0
140.0,74.0,215.0
99.3,44.0,172.0
62.54,15.0,231.0
238.54,139.0,316.0
162.58,42.0,473.0
22.22,8.0,39.0
30.08,5.0,67.0
28.83,11.0,55.0
31.96,12.0,86.0
83.96,31.0,122.0
106.63,35.0,162.0
161.29,53.0,286.0
167.63,82.0,298.0
88.63,48.0,144.0
93.63,15.0,229.0
166.71,114.0,263.0
350.29,289.0,405.0
661.33,326.0,864.0
345.04,266.0,451.0
191.08,85.0,318.0
138.17,89.0,213.0
177.38,95.0,250.0
137.92,69.0,217.0
102.29,28.0,222.0
109.25,30.0,214.0
97.58,35.0,190.0
107.54,45.0,193.0
122.43,100.0,162.0
99.75,74.0,176.0
67.67,53.0,80.0
95.79,64.0,137.0
109.04,75.0,132.0
56.33,33.0,94.0
51.63,25.0,73.0
67.79,45.0,90.0
42.79,26.0,66.0
85.71,54.0,166.0
149.17,48.0,246.0
154.63,93.0,224.0
117.04,75.0,224.0
96.5,21.0,228.0
37.46,16.0,69.0
33.88,13.0,57.0
43.5,12.0,75.0
38.25,9.0,82.0
112.0,55.0,176.0
190.79,157.0,270.0
167.96,94.0,250.0
82.63,59.0,98.0
78.21,47.0,158.0
93.5,71.0,133.0
197.79,120.0,283.0
210.92,172.0,256.0
244.46,180.0,338.0
60.88,16.0,218.0
31.87,17.0,51.0
49.54,24.0,81.0
75.5,21.0,174.0
131.71,58.0,259.0
57.25,34.0,108.0
170.48,50.0,272.0
266.92,214.0,339.0
166.29,47.0,263.0
48.71,29.0,78.0
102.88,64.0,160.0
55.88,17.0,121.0
118.63,30.0,355.0
141.88,74.0,241.0
164.0,117.0,228.0
177.75,121.0,211.0
258.88,152.0,435.0
