exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,ZTR,2009-11-27,3.82,3.85,3.79,3.84,167000,3.77
NYSE,ZTR,2009-11-25,3.90,3.90,3.84,3.87,227600,3.80
NYSE,ZTR,2009-11-24,3.90,3.90,3.84,3.84,166100,3.77
NYSE,ZTR,2009-11-23,3.84,3.88,3.84,3.88,269800,3.81
NYSE,ZTR,2009-11-20,3.79,3.84,3.79,3.83,285300,3.76
NYSE,ZTR,2009-11-19,3.79,3.81,3.78,3.79,214200,3.72
NYSE,ZTR,2009-11-18,3.81,3.83,3.80,3.80,143100,3.73
NYSE,ZTR,2009-11-17,3.81,3.83,3.81,3.81,156500,3.74
NYSE,ZTR,2009-11-16,3.84,3.84,3.81,3.83,367900,3.76
NYSE,ZTR,2009-11-13,3.74,3.82,3.74,3.80,329000,3.73
NYSE,ZTR,2009-11-12,3.77,3.79,3.75,3.75,276500,3.68
NYSE,ZTR,2009-11-11,3.75,3.79,3.75,3.76,161200,3.69
NYSE,ZTR,2009-11-10,3.75,3.78,3.73,3.77,172700,3.70
NYSE,ZTR,2009-11-09,3.73,3.77,3.73,3.77,3400,3.70
NYSE,ZTR,2009-11-06,3.71,3.78,3.71,3.75,218000,3.65
NYSE,ZTR,2009-11-05,3.74,3.77,3.72,3.74,305400,3.64
NYSE,ZTR,2009-11-04,3.71,3.75,3.68,3.71,233200,3.61
NYSE,ZTR,2009-11-03,3.66,3.68,3.59,3.68,301100,3.58
NYSE,ZTR,2009-11-02,3.68,3.74,3.65,3.65,217300,3.55
NYSE,ZTR,2009-10-30,3.78,3.82,3.61,3.65,460800,3.55
NYSE,ZTR,2009-10-29,3.70,3.78,3.70,3.77,216500,3.67
NYSE,ZTR,2009-10-28,3.81,3.81,3.70,3.70,391900,3.60
NYSE,ZTR,2009-10-27,3.80,3.82,3.79,3.82,325600,3.72
NYSE,ZTR,2009-10-26,3.85,3.85,3.78,3.79,319500,3.69
NYSE,ZTR,2009-10-23,3.82,3.83,3.81,3.82,161300,3.72
NYSE,ZTR,2009-10-22,3.82,3.84,3.80,3.81,283600,3.71
NYSE,ZTR,2009-10-21,3.84,3.87,3.80,3.81,310400,3.71
NYSE,ZTR,2009-10-20,3.84,3.85,3.82,3.82,256800,3.72
NYSE,ZTR,2009-10-19,3.83,3.87,3.82,3.87,332900,3.77
NYSE,ZTR,2009-10-16,3.81,3.84,3.81,3.84,245200,3.74
NYSE,ZTR,2009-10-15,3.80,3.83,3.80,3.83,312800,3.73
NYSE,ZTR,2009-10-14,3.80,3.82,3.80,3.81,276400,3.71
NYSE,ZTR,2009-10-13,3.81,3.81,3.78,3.79,210000,3.69
NYSE,ZTR,2009-10-12,3.77,3.79,3.76,3.77,145100,3.67
NYSE,ZTR,2009-10-09,3.77,3.80,3.77,3.78,117900,3.68
NYSE,ZTR,2009-10-08,3.80,3.81,3.75,3.77,205900,3.67
NYSE,ZTR,2009-10-07,3.82,3.82,3.77,3.77,182800,3.67
NYSE,ZTR,2009-10-06,3.85,3.85,3.78,3.81,376000,3.68
NYSE,ZTR,2009-10-05,3.75,3.78,3.73,3.77,221500,3.64
NYSE,ZTR,2009-10-02,3.74,3.78,3.73,3.75,249200,3.62
NYSE,ZTR,2009-10-01,3.76,3.78,3.73,3.76,229700,3.63
NYSE,ZTR,2009-09-30,3.75,3.80,3.74,3.77,212200,3.64
NYSE,ZTR,2009-09-29,3.75,3.76,3.70,3.76,673500,3.63
NYSE,ZTR,2009-09-28,3.80,3.80,3.74,3.76,329500,3.63
NYSE,ZTR,2009-09-25,3.73,3.79,3.73,3.75,539000,3.62
NYSE,ZTR,2009-09-24,3.76,3.83,3.72,3.72,461500,3.59
NYSE,ZTR,2009-09-23,3.83,3.85,3.77,3.78,463800,3.65
NYSE,ZTR,2009-09-22,3.85,3.88,3.82,3.83,290300,3.69
NYSE,ZTR,2009-09-21,3.85,3.86,3.80,3.85,328000,3.71
NYSE,ZTR,2009-09-18,3.80,3.86,3.77,3.86,610900,3.72
NYSE,ZTR,2009-09-17,3.84,3.86,3.80,3.81,341100,3.68
NYSE,ZTR,2009-09-16,3.85,3.88,3.83,3.87,329800,3.73
NYSE,ZTR,2009-09-15,3.82,3.86,3.82,3.86,310100,3.72
NYSE,ZTR,2009-09-14,3.78,3.81,3.75,3.81,269900,3.68
NYSE,ZTR,2009-09-11,3.76,3.79,3.75,3.76,249000,3.63
NYSE,ZTR,2009-09-10,3.77,3.79,3.74,3.78,159000,3.65
NYSE,ZTR,2009-09-09,3.76,3.79,3.74,3.77,345500,3.64
NYSE,ZTR,2009-09-08,3.77,3.79,3.75,3.78,365800,3.61
NYSE,ZTR,2009-09-04,3.73,3.76,3.73,3.75,187700,3.59
NYSE,ZTR,2009-09-03,3.70,3.75,3.70,3.75,239800,3.59
NYSE,ZTR,2009-09-02,3.61,3.73,3.61,3.70,390200,3.54
NYSE,ZTR,2009-09-01,3.78,3.78,3.66,3.66,317200,3.50
NYSE,ZTR,2009-08-31,3.75,3.76,3.72,3.74,279500,3.58
NYSE,ZTR,2009-08-28,3.79,3.79,3.76,3.76,279000,3.59
NYSE,ZTR,2009-08-27,3.78,3.80,3.76,3.79,185400,3.62
NYSE,ZTR,2009-08-26,3.79,3.81,3.78,3.80,380000,3.63
NYSE,ZTR,2009-08-25,3.75,3.79,3.75,3.77,363800,3.60
NYSE,ZTR,2009-08-24,3.68,3.76,3.68,3.76,479400,3.59
NYSE,ZTR,2009-08-21,3.72,3.74,3.70,3.70,274100,3.54
NYSE,ZTR,2009-08-20,3.69,3.70,3.67,3.68,185600,3.52
NYSE,ZTR,2009-08-19,3.66,3.67,3.64,3.65,120300,3.49
NYSE,ZTR,2009-08-18,3.66,3.72,3.65,3.66,321100,3.50
NYSE,ZTR,2009-08-17,3.72,3.73,3.62,3.62,380400,3.46
NYSE,ZTR,2009-08-14,3.71,3.76,3.69,3.75,352100,3.59
NYSE,ZTR,2009-08-13,3.73,3.74,3.71,3.72,209200,3.56
NYSE,ZTR,2009-08-12,3.75,3.76,3.73,3.73,267500,3.57
NYSE,ZTR,2009-08-11,3.71,3.76,3.69,3.76,483400,3.59
NYSE,ZTR,2009-08-10,3.73,3.75,3.72,3.73,436400,3.53
NYSE,ZTR,2009-08-07,3.69,3.74,3.69,3.72,296500,3.52
NYSE,ZTR,2009-08-06,3.73,3.76,3.68,3.70,259800,3.51
NYSE,ZTR,2009-08-05,3.72,3.75,3.70,3.75,255900,3.55
NYSE,ZTR,2009-08-04,3.67,3.75,3.67,3.74,321800,3.54
NYSE,ZTR,2009-08-03,3.66,3.72,3.65,3.65,405500,3.46
NYSE,ZTR,2009-07-31,3.69,3.70,3.63,3.65,271300,3.46
NYSE,ZTR,2009-07-30,3.68,3.71,3.61,3.62,432400,3.43
NYSE,ZTR,2009-07-29,3.66,3.67,3.64,3.66,194500,3.47
NYSE,ZTR,2009-07-28,3.72,3.74,3.65,3.67,377200,3.48
NYSE,ZTR,2009-07-27,3.63,3.72,3.60,3.72,475800,3.52
NYSE,ZTR,2009-07-24,3.55,3.62,3.54,3.62,530200,3.43
NYSE,ZTR,2009-07-23,3.55,3.63,3.54,3.55,442300,3.36
NYSE,ZTR,2009-07-22,3.50,3.58,3.49,3.55,544200,3.36
NYSE,ZTR,2009-07-21,3.51,3.52,3.48,3.50,286900,3.32
NYSE,ZTR,2009-07-20,3.48,3.52,3.47,3.51,417700,3.33
NYSE,ZTR,2009-07-17,3.50,3.51,3.44,3.44,396700,3.26
NYSE,ZTR,2009-07-16,3.44,3.53,3.44,3.51,425400,3.33
NYSE,ZTR,2009-07-15,3.37,3.47,3.37,3.46,596200,3.28
NYSE,ZTR,2009-07-14,3.30,3.38,3.30,3.37,483800,3.19
NYSE,ZTR,2009-07-13,3.27,3.34,3.26,3.32,459700,3.15
NYSE,ZTR,2009-07-10,3.27,3.28,3.23,3.27,212000,3.10
NYSE,ZTR,2009-07-09,3.28,3.29,3.23,3.28,568700,3.11
NYSE,ZTR,2009-07-08,3.33,3.35,3.27,3.27,444500,3.07
NYSE,ZTR,2009-07-07,3.35,3.36,3.33,3.34,294000,3.13
NYSE,ZTR,2009-07-06,3.35,3.36,3.34,3.35,259800,3.14
NYSE,ZTR,2009-07-02,3.35,3.36,3.34,3.36,152100,3.15
NYSE,ZTR,2009-07-01,3.37,3.38,3.35,3.37,227200,3.16
NYSE,ZTR,2009-06-30,3.37,3.37,3.34,3.36,227400,3.15
NYSE,ZTR,2009-06-29,3.36,3.37,3.34,3.36,225000,3.15
NYSE,ZTR,2009-06-26,3.37,3.37,3.34,3.34,242000,3.13
NYSE,ZTR,2009-06-25,3.33,3.37,3.33,3.37,251800,3.16
NYSE,ZTR,2009-06-24,3.35,3.37,3.33,3.35,282800,3.14
NYSE,ZTR,2009-06-23,3.32,3.34,3.30,3.30,146600,3.09
NYSE,ZTR,2009-06-22,3.36,3.36,3.30,3.31,264500,3.10
NYSE,ZTR,2009-06-19,3.37,3.38,3.34,3.36,226500,3.15
NYSE,ZTR,2009-06-18,3.35,3.36,3.33,3.34,142700,3.13
NYSE,ZTR,2009-06-17,3.35,3.36,3.32,3.35,183700,3.14
NYSE,ZTR,2009-06-16,3.39,3.39,3.34,3.35,228500,3.14
NYSE,ZTR,2009-06-15,3.40,3.40,3.35,3.35,292400,3.14
NYSE,ZTR,2009-06-12,3.40,3.42,3.38,3.41,343700,3.20
NYSE,ZTR,2009-06-11,3.39,3.42,3.37,3.42,322700,3.21
NYSE,ZTR,2009-06-10,3.43,3.43,3.36,3.39,529600,3.18
NYSE,ZTR,2009-06-09,3.43,3.43,3.40,3.41,272000,3.20
NYSE,ZTR,2009-06-08,3.37,3.45,3.37,3.45,239400,3.20
NYSE,ZTR,2009-06-05,3.46,3.47,3.43,3.45,284500,3.20
NYSE,ZTR,2009-06-04,3.42,3.46,3.40,3.46,570500,3.21
NYSE,ZTR,2009-06-03,3.43,3.43,3.38,3.42,293500,3.18
NYSE,ZTR,2009-06-02,3.60,3.60,3.41,3.44,280200,3.19
NYSE,ZTR,2009-06-01,3.37,3.43,3.37,3.40,707500,3.16
NYSE,ZTR,2009-05-29,3.37,3.37,3.34,3.36,228900,3.12
NYSE,ZTR,2009-05-28,3.35,3.37,3.32,3.37,212600,3.13
NYSE,ZTR,2009-05-27,3.36,3.37,3.33,3.34,304700,3.10
NYSE,ZTR,2009-05-26,3.42,3.42,3.34,3.37,293300,3.13
NYSE,ZTR,2009-05-22,3.35,3.39,3.31,3.39,487900,3.15
NYSE,ZTR,2009-05-21,3.36,3.37,3.30,3.35,388800,3.11
NYSE,ZTR,2009-05-20,3.38,3.41,3.36,3.36,268900,3.12
NYSE,ZTR,2009-05-19,3.36,3.36,3.33,3.36,348000,3.12
NYSE,ZTR,2009-05-18,3.33,3.36,3.31,3.36,247100,3.12
NYSE,ZTR,2009-05-15,3.30,3.33,3.28,3.30,120800,3.06
NYSE,ZTR,2009-05-14,3.32,3.34,3.30,3.30,154400,3.06
NYSE,ZTR,2009-05-13,3.32,3.38,3.27,3.33,582700,3.09
NYSE,ZTR,2009-05-12,3.34,3.37,3.32,3.33,183700,3.09
NYSE,ZTR,2009-05-11,3.35,3.36,3.31,3.34,209000,3.10
NYSE,ZTR,2009-05-08,3.37,3.39,3.36,3.39,230700,3.15
NYSE,ZTR,2009-05-07,3.37,3.39,3.31,3.36,436800,3.12
NYSE,ZTR,2009-05-06,3.38,3.39,3.35,3.39,309600,3.12
NYSE,ZTR,2009-05-05,3.36,3.38,3.36,3.38,237400,3.11
NYSE,ZTR,2009-05-04,3.35,3.38,3.32,3.36,390000,3.09
NYSE,ZTR,2009-05-01,3.32,3.35,3.29,3.35,698400,3.08
NYSE,ZTR,2009-04-30,3.32,3.33,3.30,3.30,368600,3.04
NYSE,ZTR,2009-04-29,3.27,3.31,3.26,3.30,230000,3.04
NYSE,ZTR,2009-04-28,3.26,3.28,3.26,3.27,241100,3.01
NYSE,ZTR,2009-04-27,3.32,3.32,3.26,3.27,286500,3.01
NYSE,ZTR,2009-04-24,3.24,3.27,3.24,3.26,364200,3.00
NYSE,ZTR,2009-04-23,3.25,3.25,3.22,3.23,247600,2.97
NYSE,ZTR,2009-04-22,3.23,3.28,3.23,3.25,318400,2.99
NYSE,ZTR,2009-04-21,3.22,3.24,3.21,3.22,213800,2.96
NYSE,ZTR,2009-04-20,3.28,3.28,3.22,3.24,225500,2.98
NYSE,ZTR,2009-04-17,3.27,3.32,3.25,3.28,260200,3.02
NYSE,ZTR,2009-04-16,3.15,3.28,3.15,3.28,275400,3.02
NYSE,ZTR,2009-04-15,3.22,3.24,3.21,3.24,207000,2.98
NYSE,ZTR,2009-04-14,3.23,3.25,3.21,3.25,279400,2.99
NYSE,ZTR,2009-04-13,3.20,3.24,3.17,3.24,273500,2.98
NYSE,ZTR,2009-04-09,3.18,3.22,3.18,3.22,248000,2.96
NYSE,ZTR,2009-04-08,3.17,3.18,3.13,3.17,284100,2.92
NYSE,ZTR,2009-04-07,3.18,3.20,3.17,3.19,213300,2.91
NYSE,ZTR,2009-04-06,3.21,3.21,3.16,3.21,202700,2.92
NYSE,ZTR,2009-04-03,3.22,3.23,3.19,3.23,303200,2.94
NYSE,ZTR,2009-04-02,3.18,3.23,3.18,3.23,367300,2.94
NYSE,ZTR,2009-04-01,3.12,3.18,3.11,3.17,264200,2.89
NYSE,ZTR,2009-03-31,3.14,3.17,3.13,3.14,229200,2.86
NYSE,ZTR,2009-03-30,3.09,3.15,3.09,3.15,234900,2.87
NYSE,ZTR,2009-03-27,3.19,3.24,3.19,3.24,101400,2.95
NYSE,ZTR,2009-03-26,3.22,3.24,3.18,3.22,446700,2.93
NYSE,ZTR,2009-03-25,3.24,3.24,3.12,3.19,357700,2.91
NYSE,ZTR,2009-03-24,3.04,3.19,3.04,3.13,381200,2.85
NYSE,ZTR,2009-03-23,3.16,3.20,3.13,3.20,415900,2.91
NYSE,ZTR,2009-03-20,3.15,3.17,3.08,3.08,305900,2.81
NYSE,ZTR,2009-03-19,3.10,3.14,3.08,3.11,354600,2.83
NYSE,ZTR,2009-03-18,2.89,3.09,2.89,3.09,559700,2.81
NYSE,ZTR,2009-03-17,3.04,3.04,2.97,3.03,195000,2.76
NYSE,ZTR,2009-03-16,3.02,3.07,2.97,3.04,365300,2.77
NYSE,ZTR,2009-03-13,2.90,2.99,2.88,2.98,339300,2.71
NYSE,ZTR,2009-03-12,2.77,2.92,2.77,2.91,295300,2.65
NYSE,ZTR,2009-03-11,2.73,2.80,2.67,2.80,310200,2.55
NYSE,ZTR,2009-03-10,2.63,2.75,2.63,2.74,505500,2.50
NYSE,ZTR,2009-03-09,2.64,2.70,2.63,2.63,706200,2.37
NYSE,ZTR,2009-03-06,2.74,2.80,2.69,2.70,706800,2.43
NYSE,ZTR,2009-03-05,2.85,2.87,2.70,2.72,764500,2.45
NYSE,ZTR,2009-03-04,2.92,2.92,2.85,2.87,543700,2.58
NYSE,ZTR,2009-03-03,2.90,2.92,2.82,2.84,553000,2.56
NYSE,ZTR,2009-03-02,2.95,2.96,2.86,2.88,667200,2.59
NYSE,ZTR,2009-02-27,2.93,3.04,2.93,3.04,206600,2.74
NYSE,ZTR,2009-02-26,3.07,3.12,3.04,3.04,194000,2.74
NYSE,ZTR,2009-02-25,3.22,3.22,2.91,3.06,185100,2.76
NYSE,ZTR,2009-02-24,2.98,3.09,2.97,3.09,578100,2.78
NYSE,ZTR,2009-02-23,3.04,3.14,2.98,3.06,829900,2.76
NYSE,ZTR,2009-02-20,3.07,3.13,3.01,3.11,723300,2.80
NYSE,ZTR,2009-02-19,3.11,3.18,3.06,3.14,545800,2.83
NYSE,ZTR,2009-02-18,3.16,3.23,3.09,3.11,445500,2.80
NYSE,ZTR,2009-02-17,3.27,3.34,3.18,3.23,480400,2.91
NYSE,ZTR,2009-02-13,3.33,3.39,3.33,3.38,227300,3.04
NYSE,ZTR,2009-02-12,3.33,3.39,3.29,3.39,327600,3.05
NYSE,ZTR,2009-02-11,3.35,3.40,3.31,3.39,335800,3.05
NYSE,ZTR,2009-02-10,3.41,3.41,3.34,3.39,223800,3.05
NYSE,ZTR,2009-02-09,3.38,3.44,3.38,3.44,205300,3.07
NYSE,ZTR,2009-02-06,3.39,3.45,3.36,3.44,339600,3.07
NYSE,ZTR,2009-02-05,3.37,3.39,3.34,3.39,235100,3.02
NYSE,ZTR,2009-02-04,3.36,3.38,3.35,3.38,261000,3.02
NYSE,ZTR,2009-02-03,3.32,3.37,3.30,3.37,169000,3.01
NYSE,ZTR,2009-02-02,3.30,3.32,3.25,3.32,239400,2.96
NYSE,ZTR,2009-01-30,3.40,3.40,3.30,3.30,184700,2.94
NYSE,ZTR,2009-01-29,3.42,3.42,3.34,3.40,211900,3.03
NYSE,ZTR,2009-01-28,3.41,3.44,3.39,3.43,346000,3.06
NYSE,ZTR,2009-01-27,3.40,3.44,3.39,3.39,202400,3.02
NYSE,ZTR,2009-01-26,3.43,3.46,3.35,3.40,246100,3.03
NYSE,ZTR,2009-01-23,3.35,3.44,3.34,3.44,316500,3.07
NYSE,ZTR,2009-01-22,3.37,3.41,3.36,3.39,457300,3.02
NYSE,ZTR,2009-01-21,3.33,3.66,3.25,3.42,807500,3.05
NYSE,ZTR,2009-01-20,3.22,3.35,3.22,3.28,208300,2.93
NYSE,ZTR,2009-01-16,3.37,3.37,3.29,3.34,278300,2.98
NYSE,ZTR,2009-01-15,3.27,3.35,3.22,3.35,233800,2.99
NYSE,ZTR,2009-01-14,3.36,3.36,3.28,3.34,173700,2.98
NYSE,ZTR,2009-01-13,3.38,3.45,3.35,3.41,216600,3.04
NYSE,ZTR,2009-01-12,3.43,3.45,3.36,3.37,185500,3.01
NYSE,ZTR,2009-01-09,3.45,3.46,3.40,3.41,172800,3.04
NYSE,ZTR,2009-01-08,3.40,3.45,3.38,3.43,166500,3.06
NYSE,ZTR,2009-01-07,3.48,3.49,3.42,3.42,325900,3.05
NYSE,ZTR,2009-01-06,3.49,3.50,3.40,3.50,478600,3.12
NYSE,ZTR,2009-01-05,3.44,3.48,3.40,3.47,270400,3.10
NYSE,ZTR,2009-01-02,3.37,3.47,3.33,3.44,328300,3.04
NYSE,ZTR,2008-12-31,3.30,3.37,3.28,3.37,345900,2.98
NYSE,ZTR,2008-12-30,3.27,3.35,3.26,3.29,326600,2.91
NYSE,ZTR,2008-12-29,3.34,3.39,3.25,3.25,293800,2.87
NYSE,ZTR,2008-12-26,3.28,3.35,3.26,3.34,255800,2.95
NYSE,ZTR,2008-12-24,3.28,3.30,3.26,3.29,306400,2.91
NYSE,ZTR,2008-12-23,3.26,3.29,3.25,3.27,218100,2.89
NYSE,ZTR,2008-12-22,3.29,3.30,3.22,3.26,243100,2.88
NYSE,ZTR,2008-12-19,3.20,3.30,3.20,3.27,308300,2.89
NYSE,ZTR,2008-12-18,3.13,3.21,3.11,3.20,414200,2.83
NYSE,ZTR,2008-12-17,3.14,3.19,3.11,3.13,418300,2.77
NYSE,ZTR,2008-12-16,3.08,3.16,3.04,3.15,331500,2.78
NYSE,ZTR,2008-12-15,3.20,3.20,2.91,3.08,531700,2.72
NYSE,ZTR,2008-12-12,3.03,3.20,3.02,3.15,446100,2.78
NYSE,ZTR,2008-12-11,3.14,3.20,3.08,3.11,243700,2.75
NYSE,ZTR,2008-12-10,3.23,3.25,3.10,3.15,336700,2.78
NYSE,ZTR,2008-12-09,3.26,3.26,3.18,3.19,318200,2.82
NYSE,ZTR,2008-12-08,3.35,3.41,3.23,3.33,665900,2.91
NYSE,ZTR,2008-12-05,3.16,3.30,3.07,3.30,358000,2.89
NYSE,ZTR,2008-12-04,3.19,3.25,3.04,3.15,452500,2.76
NYSE,ZTR,2008-12-03,2.90,3.24,2.90,3.19,552300,2.79
NYSE,ZTR,2008-12-02,3.01,3.14,2.97,3.11,455100,2.72
NYSE,ZTR,2008-12-01,3.03,3.04,2.96,3.01,303900,2.63
NYSE,ZTR,2008-11-28,3.00,3.08,3.00,3.07,330500,2.69
NYSE,ZTR,2008-11-26,2.96,3.06,2.90,3.04,353500,2.66
NYSE,ZTR,2008-11-25,2.91,2.99,2.89,2.98,315100,2.61
NYSE,ZTR,2008-11-24,3.00,3.00,2.80,2.99,501700,2.62
NYSE,ZTR,2008-11-21,2.84,3.00,2.66,2.84,1081800,2.48
NYSE,ZTR,2008-11-20,2.90,2.93,2.76,2.82,717400,2.47
NYSE,ZTR,2008-11-19,3.18,3.18,2.95,2.96,451900,2.59
NYSE,ZTR,2008-11-18,3.20,3.20,3.03,3.09,740400,2.70
NYSE,ZTR,2008-11-17,3.07,3.18,3.05,3.10,350100,2.71
NYSE,ZTR,2008-11-14,3.20,3.29,3.07,3.12,487400,2.73
NYSE,ZTR,2008-11-13,3.08,3.24,3.00,3.24,626600,2.83
NYSE,ZTR,2008-11-12,3.26,3.27,3.13,3.19,339600,2.79
NYSE,ZTR,2008-11-11,3.41,3.44,3.05,3.30,817100,2.89
NYSE,ZTR,2008-11-10,3.74,3.74,3.45,3.47,311400,3.04
NYSE,ZTR,2008-11-07,3.54,3.55,3.46,3.51,302200,3.04
NYSE,ZTR,2008-11-06,3.60,3.61,3.41,3.49,377800,3.02
NYSE,ZTR,2008-11-05,3.65,3.70,3.58,3.60,397800,3.12
NYSE,ZTR,2008-11-04,3.59,3.64,3.58,3.64,630700,3.15
NYSE,ZTR,2008-11-03,3.49,3.55,3.49,3.54,728400,3.07
NYSE,ZTR,2008-10-31,3.46,3.47,3.33,3.42,403400,2.96
NYSE,ZTR,2008-10-30,3.38,3.44,3.35,3.37,273100,2.92
NYSE,ZTR,2008-10-29,3.29,3.38,3.28,3.34,246500,2.89
NYSE,ZTR,2008-10-28,3.22,3.29,3.16,3.28,349100,2.84
NYSE,ZTR,2008-10-27,3.22,3.30,3.16,3.19,352600,2.76
NYSE,ZTR,2008-10-24,2.89,3.28,2.84,3.18,284900,2.76
NYSE,ZTR,2008-10-23,3.28,3.35,3.23,3.29,333300,2.85
NYSE,ZTR,2008-10-22,3.40,3.44,3.30,3.32,510800,2.88
NYSE,ZTR,2008-10-21,3.42,3.45,3.39,3.40,359600,2.95
NYSE,ZTR,2008-10-20,3.30,3.45,3.26,3.45,509900,2.99
NYSE,ZTR,2008-10-17,3.20,3.32,3.17,3.25,428300,2.82
NYSE,ZTR,2008-10-16,3.20,3.26,3.01,3.17,412100,2.75
NYSE,ZTR,2008-10-15,3.32,3.32,3.15,3.18,495700,2.76
NYSE,ZTR,2008-10-14,3.57,3.57,3.25,3.31,591500,2.87
NYSE,ZTR,2008-10-13,3.02,3.27,3.00,3.22,656800,2.79
NYSE,ZTR,2008-10-10,2.63,2.85,2.43,2.75,1726600,2.38
NYSE,ZTR,2008-10-09,3.03,3.09,2.66,2.87,1018500,2.49
NYSE,ZTR,2008-10-08,2.91,3.16,2.81,3.03,1301000,2.60
NYSE,ZTR,2008-10-07,3.41,3.55,3.15,3.24,619000,2.77
NYSE,ZTR,2008-10-06,3.59,3.59,2.90,3.40,1069000,2.91
NYSE,ZTR,2008-10-03,3.65,3.77,3.64,3.68,227300,3.15
NYSE,ZTR,2008-10-02,3.78,3.78,3.62,3.63,279700,3.11
NYSE,ZTR,2008-10-01,3.67,3.80,3.62,3.76,278800,3.22
NYSE,ZTR,2008-09-30,3.64,3.78,3.60,3.67,454700,3.14
NYSE,ZTR,2008-09-29,3.80,4.00,3.53,3.57,586500,3.06
NYSE,ZTR,2008-09-26,3.63,3.88,3.60,3.88,532500,3.32
NYSE,ZTR,2008-09-25,3.65,3.75,3.65,3.72,277800,3.19
NYSE,ZTR,2008-09-24,3.70,3.73,3.60,3.60,497500,3.08
NYSE,ZTR,2008-09-23,3.54,3.83,3.53,3.64,570500,3.12
